repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.8379310344827585,0.6191494371927735,0.6092086693571155,0.5977378092063064,0.6092086693571155,"[0.6570512820512819, 0.6716981132075471, 0.5433962264150943, 0.5509259259259259, 0.5518207282913165, 0.5544871794871795, 0.6291666666666667, 0.6962264150943397, 0.5546218487394957, 0.6826923076923077]"
10,"[0.9137931034482759, 0.896551724137931, 0.8275862068965517, 0.8103448275862069, 0.8620689655172413, 0.8620689655172413, 0.8448275862068966, 0.7758620689655172, 0.7586206896551724, 0.8275862068965517]","[0.7969696969696969, 0.6716981132075472, 0.5322128851540616, 0.5249433106575964, 0.6121212121212121, 0.5787037037037037, 0.7339622641509433, 0.5844155844155844, 0.5377176015473888, 0.61875]","[0.657051282051282, 0.6716981132075472, 0.5433962264150943, 0.5509259259259259, 0.5518207282913166, 0.5544871794871795, 0.6291666666666667, 0.6962264150943396, 0.5546218487394958, 0.6826923076923077]","[0.6988577362409139, 0.6716981132075472, 0.5352564102564102, 0.5235250186706497, 0.5622641509433962, 0.5622641509433962, 0.6554455445544555, 0.5908844275637548, 0.5396825396825397, 0.6375]","[0.6570512820512819, 0.6716981132075471, 0.5433962264150943, 0.5509259259259259, 0.5518207282913165, 0.5544871794871795, 0.6291666666666667, 0.6962264150943397, 0.5546218487394957, 0.6826923076923077]","[0.6570512820512819, 0.6716981132075471, 0.5433962264150943, 0.5509259259259259, 0.5518207282913165, 0.5544871794871795, 0.6291666666666667, 0.6962264150943397, 0.5546218487394957, 0.6826923076923077]"
